Date : 2026-07-26 01:17:34
Directory : c:\Users\Public\Nandu\project-astra
Total : 93 files,  21693 codes, 98 comments, 17104 blanks, all 38895 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\main.tsx                              | TypeScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\BucketCollectionPage.tsx        | TypeScript JSX     |        342 |          0 |        539 |        881 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\BucketDetailPage.tsx            | TypeScript JSX     |        326 |          0 |        572 |        898 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\BucketListPage.tsx              | TypeScript JSX     |         10 |          0 |         13 |         23 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\ChapterPage.tsx                 | TypeScript JSX     |        462 |          0 |        650 |      1,112 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\CreateQuizPage.tsx              | TypeScript JSX     |      1,055 |          3 |      1,659 |      2,717 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\FutureDreamsPage.tsx            | TypeScript JSX     |        125 |          0 |         57 |        182 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\GardenPage.tsx                  | TypeScript JSX     |        459 |          0 |        619 |      1,078 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\HeartJournalPage.tsx            | TypeScript JSX     |        146 |          0 |         20 |        166 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\HeartPromptPage.tsx             | TypeScript JSX     |        232 |          0 |        172 |        404 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\HomePage.tsx                    | TypeScript JSX     |        248 |          2 |        408 |        658 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\LandingPage.tsx                 | TypeScript JSX     |         35 |          0 |         11 |         46 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\LetterCollectionPage.tsx        | TypeScript JSX     |        360 |          0 |        543 |        903 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\LetterPage.tsx                  | TypeScript JSX     |        286 |          0 |        462 |        748 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\LettersPage.tsx                 | TypeScript JSX     |        242 |          3 |        111 |        356 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\LoginPage.tsx                   | TypeScript JSX     |        319 |          0 |        119 |        438 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\LoveChallengesPage.tsx          | TypeScript JSX     |        319 |          0 |        206 |        525 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\MemoriesPage.tsx                | TypeScript JSX     |        267 |          0 |        387 |        654 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\MidnightPage.tsx                | TypeScript JSX     |        118 |          0 |         55 |        173 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\ObservatoryPage.tsx             | TypeScript JSX     |        415 |          0 |        530 |        945 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\QuizAttemptPage.tsx             | TypeScript JSX     |        634 |          6 |      1,047 |      1,687 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\QuizCategoryPage.tsx            | TypeScript JSX     |        314 |          0 |        374 |        688 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\QuizCollectionPage.tsx          | TypeScript JSX     |        358 |          0 |        529 |        887 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\QuizPage.tsx                    | TypeScript JSX     |        175 |          2 |        223 |        400 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\QuizResultPage.tsx              | TypeScript JSX     |        134 |          0 |        200 |        334 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\RomancePage.tsx                 | TypeScript JSX     |        191 |          0 |         51 |        242 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\pages\VerifyPage.tsx                  | TypeScript JSX     |        387 |          1 |        498 |        886 |
| c:\Users\Public\Nandu\project-astra\astra-ui\src\services\notificationService.ts       | TypeScript         |         33 |          0 |         42 |         75 |
| c:\Users\Public\Nandu\project-astra\astra-ui\tsconfig.app.json                         | JSON               |         22 |          2 |          3 |         27 |
| c:\Users\Public\Nandu\project-astra\astra-ui\tsconfig.json                             | JSON with Comments |          7 |          0 |          1 |          8 |
| c:\Users\Public\Nandu\project-astra\astra-ui\tsconfig.node.json                        | JSON               |         19 |          2 |          3 |         24 |
| c:\Users\Public\Nandu\project-astra\astra-ui\vite.config.ts                            | TypeScript         |         11 |          1 |          2 |         14 |
| c:\Users\Public\Nandu\project-astra\package-lock.json                                  | JSON               |      1,250 |          0 |          1 |      1,251 |
| c:\Users\Public\Nandu\project-astra\package.json                                       | JSON               |          6 |          0 |          1 |          7 |
| Total                                                                                  |                    |     21,693 |         98 |     17,104 |     38,895 |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
